instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
tsp_n30_1,30,4,nn,5,15,6,10,584.566,469.382,10685723,14,712380,2.126e-05,10
tsp_n30_1,30,5,nn,5,15,6,10,558.074,469.382,11698316,37,779886,4.1538e-05,10
tsp_n30_2,30,1,nn,5,15,6,10,533.344,473.627,11608201,63,773878,7.0243e-05,10
tsp_n30_2,30,2,nn,5,15,6,10,546.785,473.627,12805175,47,853677,4.3753e-05,10
tsp_n30_2,30,3,nn,5,15,6,10,561.015,473.627,13165024,33,877667,3.3122e-05,10
tsp_n30_2,30,4,nn,5,15,6,10,599.796,473.627,12595818,85,839719,7.1736e-05,10
tsp_n30_2,30,5,nn,5,15,6,10,560.851,473.627,11593833,261,772920,0.00024324,10
tsp_n30_3,30,1,nn,5,15,6,10,578.088,414.261,13375492,65,891697,5.6026e-05,10
tsp_n30_3,30,2,nn,5,15,6,10,464.536,414.261,12463492,53,830896,4.744e-05,10
tsp_n30_3,30,3,nn,5,15,6,10,553.581,414.261,12388586,102,825901,9.7194e-05,10
tsp_n30_3,30,4,nn,5,15,6,10,552.669,414.261,13133658,16,875576,2.5288e-05,10
tsp_n30_3,30,5,nn,5,15,6,10,484.085,414.261,12337143,38,822474,3.8273e-05,10
tsp_n30_4,30,1,nn,5,15,6,10,549.061,439.145,12787957,7,852530,1.4107e-05,10
tsp_n30_4,30,2,nn,5,15,6,10,546.484,439.145,12838157,824,855873,0.000633031,10
tsp_n30_4,30,3,nn,5,15,6,10,582.847,439.145,12186443,8,812429,1.4628e-05,10
tsp_n30_4,30,4,nn,5,15,6,10,521.779,439.145,12413669,258,827575,0.000208917,10
tsp_n30_4,30,5,nn,5,15,6,10,532.183,439.145,13093392,51,872891,5.4013e-05,10
tsp_n30_5,30,1,nn,5,15,6,10,552.963,460.021,12468506,11,831233,1.6962e-05,10
tsp_n30_5,30,2,nn,5,15,6,10,545.836,460.021,12352869,12,823523,1.7393e-05,10
tsp_n30_5,30,3,nn,5,15,6,10,553.903,460.021,13392480,48,892830,4.6308e-05,10
tsp_n30_5,30,4,nn,5,15,6,10,573.331,460.021,12543936,8,836261,1.4066e-05,10
tsp_n30_5,30,5,nn,5,15,6,10,595.226,460.021,12639840,90,842654,8.0964e-05,10
tsp_n40_1,40,1,nn,5,20,6,10,547.201,532.855,8207245,3,410362,1.4438e-05,10
tsp_n40_1,40,2,nn,5,20,6,10,543.141,532.855,7820944,3,391047,1.7623e-05,10
tsp_n40_1,40,3,nn,5,20,6,10,648.602,532.855,8249169,7,412458,1.9156e-05,10
tsp_n40_1,40,4,nn,5,20,6,10,672.656,532.855,7992819,139,399639,0.00017837,10
tsp_n40_1,40,5,nn,5,20,6,10,616.589,532.855,7938019,9,396900,2.4176e-05,10
tsp_n40_2,40,1,nn,5,20,6,10,613.855,526.401,8184257,2586,409209,0.00320252,10
tsp_n40_2,40,2,nn,5,20,6,10,633.812,526.401,8021198,1381,401054,0.00183814,10
tsp_n40_2,40,3,nn,5,20,6,10,603.201,526.401,7895410,2577,394767,0.00321124,10
tsp_n40_2,40,4,nn,5,20,6,10,686.825,526.401,8303080,215,415152,0.000259173,10
tsp_n40_2,40,5,nn,5,20,6,10,608.934,526.401,7550447,1521,377519,0.00213397,10
tsp_n40_3,40,1,nn,5,20,6,10,721.475,552.854,7324818,1657,366238,0.00205095,10
tsp_n40_3,40,2,nn,5,20,6,10,722.674,552.854,8254468,54,412721,7.5203e-05,10
tsp_n40_3,40,3,nn,5,20,6,10,699.661,552.854,7775296,16,388764,3.13e-05,10
tsp_n40_3,40,4,nn,5,20,6,10,607.505,552.854,7671512,10,383575,2.2904e-05,10
tsp_n40_3,40,5,nn,5,20,6,10,698.972,552.854,7847845,5421,392388,0.00748399,10
tsp_n40_4,40,1,nn,5,20,6,10,542.058,499.918,7679049,424,383949,0.000521965,10
tsp_n40_4,40,2,nn,5,20,6,10,547.949,499.918,7493036,1405,374649,0.00185222,10
