config,instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
kick3,calib_n50_1,50,4,nn,6,50,3,1000,687.78,550.734,50000,9,999,8.3901e-05,0.225518
kick3,calib_n50_1,50,5,nn,6,50,3,1000,699.886,550.734,50000,15,999,0.00010398,0.219442
kick3,calib_n50_2,50,1,nn,6,50,3,1000,685.943,590.914,50000,21283,998,0.094878,0.219439
kick3,calib_n50_2,50,2,nn,6,50,3,1000,749.45,590.914,50000,5809,996,0.0270744,0.23416
kick3,calib_n50_2,50,3,nn,6,50,3,1000,765.949,590.914,50000,11640,999,0.0541923,0.223482
kick3,calib_n50_2,50,4,nn,6,50,3,1000,730.848,590.914,50000,7091,998,0.0324881,0.224769
kick3,calib_n50_2,50,5,nn,6,50,3,1000,777.571,590.914,50000,7446,996,0.0330726,0.228482
kick3,calib_n70_1,70,1,nn,8,70,3,1000,773.892,638.962,50000,1508,712,0.0139391,0.449207
kick3,calib_n70_1,70,2,nn,8,70,3,1000,737.485,638.962,50000,406,713,0.00357848,0.437704
kick3,calib_n70_1,70,3,nn,8,70,3,1000,832.582,638.962,50000,2847,712,0.0289744,0.445538
kick3,calib_n70_1,70,4,nn,8,70,3,1000,808.48,638.962,50000,598,712,0.0051357,0.471069
kick3,calib_n70_1,70,5,nn,8,70,3,1000,741.91,638.962,50000,3664,712,0.0322005,0.442808
kick3,calib_n70_2,70,1,nn,8,70,3,1000,779.269,656.37,50000,6843,712,0.0613216,0.453653
kick3,calib_n70_2,70,2,nn,8,70,3,1000,766.936,656.37,50000,2748,713,0.0246319,0.486357
kick3,calib_n70_2,70,3,nn,8,70,3,1000,781.374,656.37,50000,15135,712,0.143204,0.453923
kick3,calib_n70_2,70,4,nn,8,70,3,1000,737.249,656.37,50000,2693,711,0.0243343,0.455501
kick3,calib_n70_2,70,5,nn,8,70,3,1000,786.138,656.37,50000,2427,713,0.0226099,0.442237
kick6,calib_n100_1,100,1,nn,12,100,6,1000,985.693,744.971,50000,34526,496,0.602178,0.874313
kick6,calib_n100_1,100,2,nn,12,100,6,1000,960.815,743.104,50000,4570,498,0.0790446,0.882125
kick6,calib_n100_1,100,3,nn,12,100,6,1000,900.617,743.104,50000,18342,494,0.334771,0.92593
kick6,calib_n100_1,100,4,nn,12,100,6,1000,883.571,743.104,50000,22135,497,0.402071,0.926586
kick6,calib_n100_1,100,5,nn,12,100,6,1000,918.387,743.104,50000,41661,498,0.741103,0.887175
kick6,calib_n100_2,100,1,nn,12,100,6,1000,955.549,763.385,50000,20682,497,0.38575,0.90169
kick6,calib_n100_2,100,2,nn,12,100,6,1000,909.951,763.385,50000,36083,498,0.671949,0.932735
kick6,calib_n100_2,100,3,nn,12,100,6,1000,963.367,763.385,50000,42097,497,0.773362,0.91592
kick6,calib_n100_2,100,4,nn,12,100,6,1000,950.285,763.465,50000,43244,497,0.851447,0.981958
kick6,calib_n100_2,100,5,nn,12,100,6,1000,954.385,763.385,50000,37732,497,0.741124,0.981451
kick6,calib_n30_1,30,1,nn,5,30,6,1000,479.789,426.328,50000,13,1666,4.3323e-05,0.0853069
kick6,calib_n30_1,30,2,nn,5,30,6,1000,534.036,426.328,50000,7,1666,3.108e-05,0.0818412
kick6,calib_n30_1,30,3,nn,5,30,6,1000,568.188,426.328,50000,11,1666,3.3635e-05,0.0723938
kick6,calib_n30_1,30,4,nn,5,30,6,1000,533.271,426.328,50000,111,1664,0.000176871,0.0735392
kick6,calib_n30_1,30,5,nn,5,30,6,1000,539.717,426.328,50000,7,1666,3.0359e-05,0.0838207
kick6,calib_n30_2,30,1,nn,5,30,6,1000,518.314,447.548,50000,56,1665,0.000121124,0.0993241
